Strategy,Coverage,R_value,Size
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,30,
DV,1,1.2,2,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,18,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,90,
DV,1,1.2,22,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,24,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,56,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,13,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
